Tags,QuestionActive,EnableQuestionTags,Questions,Answer,AddPointsHoneypotTags,PointsToAdd,SubtractPointsHoneypotTags,PointsToSubtract
,TRUE,,How many employees does the organization have?,1. Between 1 and 9 employees.,[LOW_INTERACTION],10,,
,,,,2. Between 50 and 249 employees.,"[CORPORATION,PII],[CORPORATION,INSIDER_THREAT]",10,,
,,,,3. More than 250 employees.,"[CORPORATION,PII],[CORPORATION,INSIDER_THREAT],[CORPORATION,PHISHING],[HONEYNET]",10,,
,TRUE,[HCP],Is your organization directly involved in patient care?,1. Yes.,,,,
,,[PHARM],,"2. No, we are a pharmaceutical /laboratory.",,,,
,TRUE,,What infrastructure model does your organization follow?,1. Fully Cloud.,,,"[CORPORATION,ON_PREM]",100
,,,,2. On-Premise.,,,"[CORPORATION,CLOUD]",100
,,,,3. Hybrid.,,,"[CORPORATION,CLOUD]",100
,TRUE,,What email services does your company employ?,1. Free email services.,"[CORPORATION,SPAMTRAP]",10,,
,,,,2. Own email server.,"[CORPORATION,MAILSERVER]",10,,
,,,,3. Email-as-a-Service.,"[CORPORATION,SPAMTRAP]",10,,
,,,,4. We do not use mail services.,,,"[CORPORATION,PHISHING]",100
,TRUE,,Do your employees own work devices?,1. Yes.,"[CORPORATION,EMPLOYEE_ENDPOINT]",10,,
,,,,"2. No, they use their personal devices.","[CORPORATION,REMOTE_ACCESS]",10,"[CORPORATION,EMPLOYEE_ENDPOINT]",100
,TRUE,,Do your employees remotely access the organization's resources?,"1. Yes, through a secure access method.",,,,
,,,,"2. Yes, directly over the internet.","[CORPORATION,REMOTE_ACCESS]",10,,
,,,,"3. No, employees cannot access remotely.",,,"[CORPORATION,REMOTE_ACCESS]",100
,TRUE,,Does your organization monitor unauthorized access by employees or contractors?,"1. Yes, we have an insider risk management program and employ strong controls, like RBAC and the least privileged access.",,,,
,,,,"2. No, we do not.","[CORPORATION,INSIDER_THREAT]",10,,
,TRUE,,"Does your organization deal with sensitive corporate information? (e.g. IP, patents, research...)",1. Yes. ,"[CORPORATION,SCI]",10,,
,,,,2. No. ,,,,
,TRUE,,Does your organization have web services?,"1. Yes, we host and manage our own web services. ","[CORPORATION,WEB_SERVICES]",10,,
